Test Case ID,Test Scenario,Input: PIN,Input: Amount,Expected Output,Testing Technique
TC01,Valid Withdrawal,1234,500,Transaction Successful; Balance Updated,ECP (Valid)
TC02,Invalid PIN format,12,200,Error: Invalid PIN length,ECP (Invalid)
TC03,Incorrect PIN,0000,200,Error: Incorrect PIN; Attempt 1/3,ECP (Invalid)
TC04,Account Blocking,0000 (x3),200,Error: Account Blocked after 3 failures,State Transition
TC05,Minimum Boundary Amount,1234,100,Transaction Successful,BVA (Valid)
TC06,Below Minimum Amount,1234,50,Error: Minimum withdrawal is 100,BVA (Invalid)
TC07,Zero Amount Entry,1234,0,Error: Invalid Amount,BVA (Invalid)
TC08,Negative Amount,1234,-500,Error: Invalid Amount,ECP (Invalid)
TC09,Max Balance Withdrawal,1234,5000,Transaction Successful; Balance 0,BVA (Valid)
TC10,Exceeding Balance,1234,5100,Error: Insufficient Funds,BVA (Invalid)
TC11,ATM Daily Limit,1234,25000,Error: Exceeds Daily Limit,BVA (Limit)
TC12,Non-Numeric PIN,ABCD,500,Error: Invalid Input Type,ECP (Invalid)
TC13,Non-Numeric Amount,1234,"Five",Error: Invalid Input Type,ECP (Invalid)
TC14,Multiples of Denom,1234,155,Error: Amount must be multiple of 100,ECP (Invalid)
TC15,Post-Block Attempt,1234,500,Error: Account remains blocked,State Transition
